TIMESPAN,BLOCKCHAIN,MARKET_STATE,ACTIVE_USERS
2023-03-20,Optimism,Current Bear,557
2023-03-20,BSC,Current Bear,369
2023-03-27,Arbitrum,Current Bear,2699
2023-03-27,Ethereum,Current Bear,7517
2023-03-27,Polygon,Current Bear,2424
2023-03-27,Optimism,Current Bear,520
2023-03-27,BSC,Current Bear,427
2023-04-03,Polygon,Current Bear,2226
2023-04-03,Ethereum,Current Bear,7147
2023-04-03,Optimism,Current Bear,562
2023-04-03,Arbitrum,Current Bear,2013
2023-04-03,BSC,Current Bear,449
2023-04-10,Optimism,Current Bear,753
2023-04-10,Polygon,Current Bear,2347
2023-04-10,Arbitrum,Current Bear,2103
2023-04-10,Ethereum,Current Bear,7388
2023-04-10,BSC,Current Bear,454
2023-04-17,BSC,Current Bear,491
2023-04-17,Ethereum,Current Bear,15075
2023-04-17,Optimism,Current Bear,542
2023-04-17,Arbitrum,Current Bear,2635
2023-04-17,Polygon,Current Bear,2448
2023-04-24,BSC,Current Bear,474
2023-04-24,Optimism,Current Bear,383
2023-04-24,Arbitrum,Current Bear,2076
2023-04-24,Ethereum,Current Bear,14187
2023-04-24,Polygon,Current Bear,2211
2023-05-01,BSC,Current Bear,463
2023-05-01,Arbitrum,Current Bear,4315
2023-05-01,Polygon,Current Bear,2054
2023-05-01,Optimism,Current Bear,396
2023-05-01,Ethereum,Current Bear,27746
2023-05-08,Ethereum,Current Bear,21137
2023-05-08,Arbitrum,Current Bear,3192
2023-05-08,Polygon,Current Bear,2038
2023-05-08,BSC,Current Bear,358
2023-05-08,Optimism,Current Bear,405
2023-05-15,Polygon,Current Bear,2039
2023-05-15,Arbitrum,Current Bear,2079
2023-05-15,Ethereum,Current Bear,17667
2023-05-15,Optimism,Current Bear,406
2023-05-15,BSC,Current Bear,392
2023-05-22,Optimism,Current Bear,413
2023-05-22,Polygon,Current Bear,2245
2023-05-22,Ethereum,Current Bear,18510
2023-05-22,Arbitrum,Current Bear,1951
2023-05-22,BSC,Current Bear,396
2023-05-29,Ethereum,Current Bear,15948
2023-05-29,Arbitrum,Current Bear,1775
2023-05-29,Polygon,Current Bear,1994
2023-05-29,BSC,Current Bear,387
2023-05-29,Optimism,Current Bear,404
2023-06-05,BSC,Current Bear,435
2023-06-05,Ethereum,Current Bear,12886
2023-06-05,Optimism,Current Bear,441
2023-06-05,Arbitrum,Current Bear,1843
2023-06-05,Polygon,Current Bear,2495
2023-06-12,Polygon,Current Bear,2333
2023-06-12,Optimism,Current Bear,447
2023-06-12,Ethereum,Current Bear,11853
2023-06-12,Arbitrum,Current Bear,1829
2023-06-12,BSC,Current Bear,428
2023-06-19,Polygon,Current Bear,2740
2023-06-19,BSC,Current Bear,423
2023-06-19,Arbitrum,Current Bear,1812
2023-06-19,Optimism,Current Bear,455
2023-06-19,Ethereum,Current Bear,11781
2023-06-26,Arbitrum,Current Bear,1900
2023-06-26,BSC,Current Bear,378
2023-06-26,Ethereum,Current Bear,13088
2023-06-26,Avalanche,Current Bear,4
2023-06-26,Polygon,Current Bear,2589
2023-06-26,Optimism,Current Bear,480
2023-07-03,Ethereum,Current Bear,14413
2023-07-03,BSC,Current Bear,345
2023-07-03,Polygon,Current Bear,2398
2023-07-03,Avalanche,Current Bear,3
2023-07-03,Optimism,Current Bear,460
2023-07-03,Arbitrum,Current Bear,1615
2023-07-10,Arbitrum,Current Bear,1720
2023-07-10,BSC,Current Bear,531
2023-07-10,Avalanche,Current Bear,15
2023-07-10,Polygon,Current Bear,3287
2023-07-10,Optimism,Current Bear,533
2023-07-10,Ethereum,Current Bear,15258
2023-07-17,Optimism,Current Bear,525
2023-07-17,Avalanche,Current Bear,73
2023-07-17,BSC,Current Bear,492
2023-07-17,Polygon,Current Bear,2301
2023-07-17,Ethereum,Current Bear,18778
2023-07-17,Arbitrum,Current Bear,1427
2023-07-24,Polygon,Current Bear,2428
2023-07-24,BSC,Current Bear,473
2023-07-24,Optimism,Current Bear,593
2023-07-24,Arbitrum,Current Bear,1269
2023-07-24,Ethereum,Current Bear,19723
2023-07-24,Avalanche,Current Bear,76
2023-07-31,Polygon,Current Bear,2300
2023-07-31,Arbitrum,Current Bear,1367
2023-07-31,BSC,Current Bear,516
2023-07-31,Optimism,Current Bear,622
2023-07-31,Avalanche,Current Bear,86
2023-07-31,Ethereum,Current Bear,16519
2023-08-07,Base,Current Bear,641
2023-08-07,Polygon,Current Bear,2003
2023-08-07,BSC,Current Bear,496
2023-08-07,Optimism,Current Bear,545
2023-08-07,Avalanche,Current Bear,105
2023-08-07,Ethereum,Current Bear,17810
2023-08-07,Arbitrum,Current Bear,1338
2023-08-14,Ethereum,Current Bear,18918
2023-08-14,BSC,Current Bear,443
2023-08-14,Polygon,Current Bear,2010
2023-08-14,Optimism,Current Bear,849
2023-08-14,Avalanche,Current Bear,132
2023-08-14,Base,Current Bear,274
2023-08-14,Arbitrum,Current Bear,1369
2023-08-21,BSC,Current Bear,429
2023-08-21,Arbitrum,Current Bear,1233
2023-08-21,Ethereum,Current Bear,18387
2023-08-21,Avalanche,Current Bear,119
2023-08-21,Polygon,Current Bear,1996
2023-08-21,Base,Current Bear,240
2023-08-21,Optimism,Current Bear,505
2023-08-28,Base,Current Bear,296
2023-08-28,Ethereum,Current Bear,17286
2023-08-28,Avalanche,Current Bear,114
2023-08-28,Polygon,Current Bear,1738
2023-08-28,BSC,Current Bear,353
2023-08-28,Arbitrum,Current Bear,1211
2023-08-28,Optimism,Current Bear,491
2023-09-04,Avalanche,Current Bear,90
2023-09-04,Optimism,Current Bear,513
2023-09-04,Polygon,Current Bear,2048
2023-09-04,Base,Current Bear,237
2023-09-04,Arbitrum,Current Bear,1028
2023-09-04,BSC,Current Bear,371
2023-09-04,Ethereum,Current Bear,16344
2023-09-11,Optimism,Current Bear,545
2023-09-11,Polygon,Current Bear,1982
2023-09-11,Ethereum,Current Bear,14570
2023-09-11,BSC,Current Bear,448
2023-09-11,Avalanche,Current Bear,111
2023-09-11,Base,Current Bear,202
2023-09-11,Arbitrum,Current Bear,1092
2023-09-18,Base,Current Bear,219
2023-09-18,Arbitrum,Current Bear,1005
2023-09-18,Ethereum,Current Bear,13380
2023-09-18,Polygon,Current Bear,1745
2023-09-18,Avalanche,Current Bear,100
2023-09-18,BSC,Current Bear,395
2023-09-18,Optimism,Current Bear,1100
﻿
