PROTOCOLS,TIMESPAN,VOLUME
uniswap,2021-11-29,26763451332
dodo,2021-11-29,1213449942
biswap,2021-11-29,3063484728
spookyswap,2021-11-29,1620932703
sushiswap,2021-11-29,4344275678
sunswap,2021-11-29,1747267318
trader joe dex,2021-12-06,3488303542
dodo,2021-12-06,918709812
uniswap,2021-12-06,22498647707
sushiswap,2021-12-06,3136238326
biswap,2021-12-06,4802168788
spookyswap,2021-12-06,1384135340
sunswap,2021-12-06,1972391778
pancakeswap,2021-12-06,9596552236
trader joe dex,2021-12-13,3921925338
sushiswap,2021-12-13,2688184305
pancakeswap,2021-12-13,7104562129
dodo,2021-12-13,839148704
spookyswap,2021-12-13,1172725332
biswap,2021-12-13,4573716164
sunswap,2021-12-13,1879740421
uniswap,2021-12-13,19628642451
spookyswap,2021-12-20,1218740335
sunswap,2021-12-20,1172724205
trader joe dex,2021-12-20,3124999732
pancakeswap,2021-12-20,6625432432
biswap,2021-12-20,3069753072
dodo,2021-12-20,803634164
uniswap,2021-12-20,14250027384
sushiswap,2021-12-20,2675341858
sunswap,2021-12-27,2713926845
dodo,2021-12-27,902599571
pancakeswap,2021-12-27,5951636822
astroport classic,2021-12-27,504345338
biswap,2021-12-27,1846963134
uniswap,2021-12-27,13111496231
trader joe dex,2021-12-27,2438472725
spookyswap,2021-12-27,1328271099
sushiswap,2021-12-27,3075356047
pancakeswap,2022-01-03,6000441075
spookyswap,2022-01-03,3007047008
astroport classic,2022-01-03,1041385519
sunswap,2022-01-03,1205247972
biswap,2022-01-03,1993374942
trader joe dex,2022-01-03,2768467849
uniswap,2022-01-03,16603424717
sushiswap,2022-01-03,4020166859
dodo,2022-01-03,1229377954
sunswap,2022-01-10,1840218813
sushiswap,2022-01-10,3035113078
astroport classic,2022-01-10,663401438
dodo,2022-01-10,1301980313
spookyswap,2022-01-10,2866704806
uniswap,2022-01-10,14579325960
biswap,2022-01-10,1318970988
trader joe dex,2022-01-10,1972906330
pancakeswap,2022-01-10,5328886963
uniswap,2022-01-17,21391991538
astroport classic,2022-01-17,1463812402
pancakeswap,2022-01-17,5674813202
trader joe dex,2022-01-17,2369620957
biswap,2022-01-17,1720582582
dodo,2022-01-17,1687036479
spookyswap,2022-01-17,3509501574
sushiswap,2022-01-17,4633895767
sunswap,2022-01-17,4988607776
sushiswap,2022-01-24,4025626072
astroport classic,2022-01-24,1315666940
sunswap,2022-01-24,3334551306
trader joe dex,2022-01-24,2028046993
uniswap,2022-01-24,17844413916
biswap,2022-01-24,1689086582
pancakeswap,2022-01-24,4331450689
dodo,2022-01-24,1792609133
spookyswap,2022-01-24,3120321505
sunswap,2022-01-31,2162137592
uniswap,2022-01-31,12803292987
biswap,2022-01-31,1021280374
trader joe dex,2022-01-31,1532869935
pancakeswap,2022-01-31,3796534553
sushiswap,2022-01-31,1832484315
dodo,2022-01-31,1081655362
spookyswap,2022-01-31,2233394937
astroport classic,2022-01-31,649133954
pancakeswap,2022-02-07,4579416910
biswap,2022-02-07,1176412486
sushiswap,2022-02-07,1763329302
uniswap,2022-02-07,14178781167
trader joe dex,2022-02-07,1705252097
sunswap,2022-02-07,2879199437
dodo,2022-02-07,1366058690
spookyswap,2022-02-07,2808911140
astroport classic,2022-02-07,776137099
spookyswap,2022-02-14,1940952846
biswap,2022-02-14,1041224094
astroport classic,2022-02-14,698404294
dodo,2022-02-14,1481927000
pancakeswap,2022-02-14,4190042404
sushiswap,2022-02-14,1474947013
uniswap,2022-02-14,13208015052
trader joe dex,2022-02-14,1419809188
sunswap,2022-02-14,1677863884
trader joe dex,2022-02-21,1580341697
pancakeswap,2022-02-21,4679817611
sushiswap,2022-02-21,1918168711
biswap,2022-02-21,1491413002
sunswap,2022-02-21,7248166001
dodo,2022-02-21,1418617125
astroport classic,2022-02-21,1622622510
uniswap,2022-02-21,17013030901
spookyswap,2022-02-21,3380720080
sushiswap,2022-02-28,1467066314
uniswap,2022-02-28,13441486123
spookyswap,2022-02-28,2853824326
astroport classic,2022-02-28,2296841969
pancakeswap,2022-02-28,3606406286
trader joe dex,2022-02-28,1391856212
dodo,2022-02-28,1651404970
sunswap,2022-02-28,4752995966
biswap,2022-02-28,962714304
astroport classic,2022-03-07,2098822445
biswap,2022-03-07,913858024
uniswap,2022-03-07,10913908325
dodo,2022-03-07,1571253575
pancakeswap,2022-03-07,3414131743
spookyswap,2022-03-07,1426462313
sunswap,2022-03-07,1672695299
sushiswap,2022-03-07,988468329
trader joe dex,2022-03-07,929587118
sushiswap,2022-03-14,1167074508
biswap,2022-03-14,747654148
sunswap,2022-03-14,907182858
pancakeswap,2022-03-14,3668785391
trader joe dex,2022-03-14,1004090738
spookyswap,2022-03-14,1129547167
uniswap,2022-03-14,12280302539
dodo,2022-03-14,1509995769
astroport classic,2022-03-14,1408856808
biswap,2022-03-21,2132946034
sushiswap,2022-03-21,1143755322
sunswap,2022-03-21,994235804
trader joe dex,2022-03-21,870330058
uniswap,2022-03-21,11716835997
astroport classic,2022-03-21,981063047
pancakeswap,2022-03-21,3812922397
dodo,2022-03-21,1449782190
spookyswap,2022-03-21,1054066465
dodo,2022-03-28,1504273164
uniswap,2022-03-28,14456601962
sunswap,2022-03-28,1432068907
biswap,2022-03-28,2923324156
astroport classic,2022-03-28,1599987260
spookyswap,2022-03-28,1184604025
pancakeswap,2022-03-28,4934116928
trader joe dex,2022-03-28,1198690136
sushiswap,2022-03-28,1623012272
trader joe dex,2022-04-04,922155908
sushiswap,2022-04-04,1379682782
sunswap,2022-04-04,1651174128
dodo,2022-04-04,1564986922
pancakeswap,2022-04-04,4966289346
spookyswap,2022-04-04,1195375759
uniswap,2022-04-04,13489135646
biswap,2022-04-04,2715870736
astroport classic,2022-04-04,2012858077
biswap,2022-04-11,2235249704
uniswap,2022-04-11,12272703861
sushiswap,2022-04-11,911991174
pancakeswap,2022-04-11,4442574961
astroport classic,2022-04-11,1620125413
spookyswap,2022-04-11,998632320
trader joe dex,2022-04-11,717580247
sunswap,2022-04-11,884213641
dodo,2022-04-11,1516945741
uniswap,2022-04-18,10631486285
astroport classic,2022-04-18,1325347799
dodo,2022-04-18,1084225101
sushiswap,2022-04-18,945747530
biswap,2022-04-18,1906117306
trader joe dex,2022-04-18,572556132
spookyswap,2022-04-18,764105441
pancakeswap,2022-04-18,3597272493
sunswap,2022-04-18,781205249
spookyswap,2022-04-25,1230673030
trader joe dex,2022-04-25,620296543
uniswap,2022-04-25,13660377516
astroport classic,2022-04-25,1286451762
pancakeswap,2022-04-25,4019045827
sushiswap,2022-04-25,992840875
dodo,2022-04-25,1160213883
biswap,2022-04-25,2414955108
sunswap,2022-04-25,667776959
spookyswap,2022-05-02,720910428
trader joe dex,2022-05-02,663951985
dodo,2022-05-02,1262922096
pancakeswap,2022-05-02,3424007305
sushiswap,2022-05-02,880839602
astroport classic,2022-05-02,1884005997
biswap,2022-05-02,1834607120
sunswap,2022-05-02,1890773485
uniswap,2022-05-02,14009999168
spookyswap,2022-05-09,1481031707
sunswap,2022-05-09,2592072561
dodo,2022-05-09,1561797980
trader joe dex,2022-05-09,1900868463
astroport classic,2022-05-09,6282771310
uniswap,2022-05-09,25979926076
biswap,2022-05-09,4311999978
sushiswap,2022-05-09,2703802403
pancakeswap,2022-05-09,7150492590
dodo,2022-05-16,713843193
sushiswap,2022-05-16,621351410
astroport classic,2022-05-16,534021453
sunswap,2022-05-16,697760233
pancakeswap,2022-05-16,3395923289
trader joe dex,2022-05-16,465664774
spookyswap,2022-05-16,633630162
biswap,2022-05-16,1381303138
uniswap,2022-05-16,10754193630
astroport classic,2022-05-23,1499316972
dodo,2022-05-23,915921930
pancakeswap,2022-05-23,3671686531
sunswap,2022-05-23,981550328
biswap,2022-05-23,1221363028
sushiswap,2022-05-23,632553218
spookyswap,2022-05-23,427431235
trader joe dex,2022-05-23,425760648
uniswap,2022-05-23,10494698866
trader joe dex,2022-05-30,302855918
uniswap,2022-05-30,9168407785
sunswap,2022-05-30,645544273
spookyswap,2022-05-30,222645517
dodo,2022-05-30,1046551853
sushiswap,2022-05-30,415055168
astroport classic,2022-05-30,1434761167
pancakeswap,2022-05-30,2340344008
biswap,2022-05-30,765173928
sushiswap,2022-06-06,523469837
dodo,2022-06-06,999369133
trader joe dex,2022-06-06,317976529
pancakeswap,2022-06-06,2577211433
astroport classic,2022-06-06,1434761167
sunswap,2022-06-06,364001191
uniswap,2022-06-06,11142297715
spookyswap,2022-06-06,269754079
biswap,2022-06-06,1006174252
sushiswap,2022-06-13,937134092
pancakeswap,2022-06-13,2858457692
dodo,2022-06-13,1060597756
uniswap,2022-06-13,19623935283
trader joe dex,2022-06-13,531054590
sunswap,2022-06-13,1911965416
biswap,2022-06-13,1467001768
spookyswap,2022-06-13,373175962
astroport classic,2022-06-13,1434761167
dodo,2022-06-20,785845299
sunswap,2022-06-20,461276944
biswap,2022-06-20,806559724
spookyswap,2022-06-20,153860269
uniswap,2022-06-20,8990264132
pancakeswap,2022-06-20,1763488162
sushiswap,2022-06-20,458807718
trader joe dex,2022-06-20,225761689
astroport classic,2022-06-20,1434761167
astroport classic,2022-06-27,1434761167
biswap,2022-06-27,579684374
pancakeswap,2022-06-27,1709133342
spookyswap,2022-06-27,102839011
sunswap,2022-06-27,418026517
uniswap,2022-06-27,7398731764
sushiswap,2022-06-27,370355859
dodo,2022-06-27,817694676
trader joe dex,2022-06-27,169679548
pancakeswap,2022-07-04,1550729568
dodo,2022-07-04,661838723
spookyswap,2022-07-04,75555525
biswap,2022-07-04,463929520
trader joe dex,2022-07-04,139314018
sunswap,2022-07-04,328073352
sushiswap,2022-07-04,290588165
astroport classic,2022-07-04,1434761167
uniswap,2022-07-04,7598486326
trader joe dex,2022-07-11,150513817
uniswap,2022-07-11,8564186007
dodo,2022-07-11,812789938
sunswap,2022-07-11,192282619
pancakeswap,2022-07-11,1557227369
astroport classic,2022-07-11,1434761167
biswap,2022-07-11,460830936
spookyswap,2022-07-11,86334133
sushiswap,2022-07-11,367127732
trader joe dex,2022-07-18,195935252
sushiswap,2022-07-18,455479038
pancakeswap,2022-07-18,1762960479
sunswap,2022-07-18,325609767
spookyswap,2022-07-18,171056004
uniswap,2022-07-18,11316980091
biswap,2022-07-18,696214938
dodo,2022-07-18,1337160436
astroport classic,2022-07-18,1434761167
uniswap,2022-07-25,10829963944
sunswap,2022-07-25,304522607
biswap,2022-07-25,653601290
pancakeswap,2022-07-25,1806120395
spookyswap,2022-07-25,125036078
dodo,2022-07-25,1417363000
astroport classic,2022-07-25,1434761167
trader joe dex,2022-07-25,151278119
sushiswap,2022-07-25,572116703
dodo,2022-08-01,846107445
trader joe dex,2022-08-01,127516310
spookyswap,2022-08-01,111782743
sunswap,2022-08-01,283386722
sushiswap,2022-08-01,416441813
astroport classic,2022-08-01,1434761167
uniswap,2022-08-01,8354429320
pancakeswap,2022-08-01,2069582186
biswap,2022-08-01,482778040
sushiswap,2022-08-08,556138385
uniswap,2022-08-08,10210037563
pancakeswap,2022-08-08,1950908368
trader joe dex,2022-08-08,151734500
biswap,2022-08-08,393920980
sunswap,2022-08-08,260830030
astroport classic,2022-08-08,1434761167
spookyswap,2022-08-08,92955545
dodo,2022-08-08,894561529
dodo,2022-08-15,1640884819
astroport classic,2022-08-15,1434761167
trader joe dex,2022-08-15,130735090
spookyswap,2022-08-15,92840637
biswap,2022-08-15,356406128
pancakeswap,2022-08-15,1712685215
