LIQUIDITY_PROVIDER,ADDED_USD_LIQ,-REMOVED_USD_LIQ,NET_USD_LIQ,ADDED_TOKEN0_USD,-REMOVED_TOKEN0_USD,NET_TOKEN0_USD,ADDED_TOKEN1_USD,-REMOVED_TOKEN1_USD,NET_TOKEN1_USD
0xa8bca11c0175e74f2e0651f40b7bbbd8ed59ba95,153071661.545745,-136905841.320351,16165820.2253946,83109311.9639592,-77183566.1849111,5925745.77904806,69962349.5817861,-59722275.1354395,10240074.4463465
0x50b42514389f25e1f471c8f03f6f5954df0204b0,501622831.881847,-485652526.454969,15970305.4268777,265711775.409383,-244585711.977618,21126063.4317643,235911056.472464,-241066814.477351,-5155758.00488657
0xcc4ea98876f3ee733712ac64137c34e637fc2dae,377513198.408829,-361838710.516055,15674487.8927736,342261597.907961,-326020783.990075,16240813.9178854,35251600.5008686,-35817926.5259804,-566326.025111713
0x000018bbb8df8de9e3eaf772db1c4eec228ef06c,15104021.7384317,-2.000420671,15104019.738011,7610313.26508643,-1.001420121,7610312.26366631,7493708.47334525,-0.9990005498,7493707.4743447
0xe34bb624055b171d777eccbbfc3baaeeffbe432c,94698065.813954,-79598124.2443058,15099941.5696482,41126726.5482299,-34928088.010376,6198638.53785384,53618329.8864855,-44670036.2339297,8948293.65255575
0x99e2ae3dd7fdb5684950176551911d19d55dfcab,47932244.0384918,-33155729.2104603,14776514.8280316,26351257.6338376,-22103918.3426466,4247339.29119107,21580986.4046542,-11051810.8678137,10529175.5368405
0x64b6ebe0a55244f09dfb1e46fe59b74ab94f8be1,71899279.8682562,-57278157.1784813,14621122.6897748,44487889.8386638,-42636948.1548551,1850941.68380874,27411390.0295923,-14641209.0236263,12770181.005966
0x843fb62b20535323409b5317b5707a2e8a0f98bc,104609846.371408,-90194376.4385413,14415469.9328668,64324549.6397569,-46985493.5846064,17339056.0551505,40285296.7316512,-43208882.8539349,-2923586.12228372
0x0dd4c0c16fff6693e169ef89235cb92f9d8943ee,313463095.814837,-299310572.897456,14152522.9173816,1533925553.1503,-1469332145.39055,64593407.7597439,288039105.9696,-271765992.778074,16273113.1915262
0xe5b28e1b05eeff4870fbd23a7c2fb53959e75e6b,13987798.0227805,-370243.008809602,13617555.0139709,8216.55707355,-5148.339051724,3068.218021826,13979581.4657069,-365094.669757877,13614486.795949
0xb25c98cd23274178c5f6950e7f3eef8154d26bd5,44049302.2059015,-30647742.1284561,13401560.0774454,13406498.5736602,-323917.197587,13082581.3760732,30642803.6322413,-30323824.9308691,318978.701372247
0x234d953a9404bf9dbc3b526271d440cd2870bcd2,15786213.1005294,-2448907.82833101,13337305.2721984,8760491.98285194,-1243741.04056759,7516750.94228435,7025721.11767746,-1205166.78776342,5820554.32991404
0x1eab3b222a5b57474e0c237e7e1c4312c1066855,2772215000.85008,-2758990431.21828,13224569.6317959,1232140709.11108,-1208265209.86788,23875499.243197,1540074291.739,-1550725221.3504,-10650929.6114004
0x30c35950f2a8b8b76338bcd0b4d6fe67c98d2439,38972685.106278,-25801484.8295593,13171200.2767187,21813111.1054504,-14813658.9434068,6999452.16204359,17159574.0008276,-10987825.8861524,6171748.11467514
0x46a0b4fa58141aba23185e79f7047a7dfd0ff100,307999133.042449,-295054700.966315,12944432.0761337,143785095.141088,-119265024.034651,24520071.1064377,164214037.90136,-175789676.931664,-11575639.0303041
0x5214bd87ece19f4677e0f755f6ac8778974642ba,24052197.3676099,-11395290.840525,12656906.5270849,13397262.0391105,-5785429.90183705,7611832.13727344,10654935.3284994,-5609860.93868796,5045074.38981149
0xff0cefdbd6bf757cc0cc361ddfbde432186ccaa6,155472160.609382,-142890096.260229,12582064.3491527,78360028.0477821,-85260358.1161139,-6900330.06833179,77112132.5615995,-57629738.144115,19482394.4174845
0x2ff58570d32e8e8b4edecc2c67bd3dc3ee2fac7c,25583554.5209218,-13033457.5598966,12550096.9610252,10781953.5640612,-5562561.38690473,5219392.17715644,14801600.9568606,-7470896.17299186,7330704.78386875
0x94b1fc7695b9d596e5b65b2b4f3d05d0069bc012,52162132.09952,-40186443.1673658,11975688.9321543,30416428.7036665,-25993035.3757607,4423393.32790584,21859656.9094232,-14212735.2437806,7646921.66564257
0x9b0297ce4ebcf554a2000ebd60987298a9bc314b,153506319.536401,-141720623.481899,11785696.0545022,83193804.4010934,-81961410.5569493,1232393.84414405,70312515.1353075,-59759212.9249495,10553302.2103581
