TIMESPAN,ADDED_USD_LIQ,-REMOVED_USD_LIQ,NET_USD_LIQ,CUMUL_NET_USD_LIQ,ADDED_TOKEN0_USD,-REMOVED_TOKEN0_USD,NET_TOKEN0_USD,ADDED_TOKEN1_USD,-REMOVED_TOKEN1_USD,NET_TOKEN1_USD
2022-01-10 00:00:00.000,7001267434.70646,-6979963018.26005,21304416.4464188,8203927088.12936,6175008023.38259,-6142175897.69979,32832125.6828041,883479381.027193,-888494744.446585,-5015363.41939199
2022-01-17 00:00:00.000,2368101400.99815,-2279816680.51191,88284720.4862423,8292211808.6156,1223820153.0581,-1032228392.19242,191591760.865678,1193808588.22099,-1295976130.23115,-102167542.010169
2022-01-24 00:00:00.000,2256442192.39313,-2107867683.6313,148574508.761829,8440786317.37743,1157356668.44679,-1019844068.66605,137512599.780743,1141115481.3355,-1129890720.62046,11224760.7150393
2022-01-31 00:00:00.000,2916218116.24614,-2591948894.7509,324269221.495244,8765055538.87268,1442402115.95839,-1360098390.07131,82303725.8870873,1522969263.51701,-1277317575.90323,245651687.61378
2022-02-07 00:00:00.000,3758313721.2477,-3628531621.41628,129782099.831425,8894837638.7041,1774522631.74183,-1726161168.78477,48361462.9570596,2015854156.36208,-1929482610.09332,86371546.2687612
2022-02-14 00:00:00.000,4551191521.49422,-4501766004.2257,49425517.2685223,8944263155.97262,2271366235.54386,-2169697636.04471,101668599.499152,2379995671.48309,-2360452299.91078,19543371.5723066
2022-02-21 00:00:00.000,5312131317.23259,-5332808127.2215,-20676809.988904,8923586345.98372,2823396621.55746,-2760426227.603,62970393.9544616,2600872835.17213,-2677196130.09704,-76323294.9249139
2022-02-28 00:00:00.000,7441081571.06708,-7273336328.64213,167745242.42495,9091331588.40867,3702005757.52089,-3648439968.72508,53565788.7958097,3808094671.25186,-3692203663.60225,115891007.649603
2022-03-07 00:00:00.000,7274614179.79859,-7251275313.0728,23338866.7257872,9114670455.13446,3449268695.2914,-3393766208.52157,55502486.7698264,3990691568.15957,-4013431631.79273,-22740063.6331568
2022-03-14 00:00:00.000,7520811371.00766,-7502706964.23716,18104406.7704964,9132774861.90495,3648764229.59923,-3571700991.77902,77063237.8202114,4172210930.48883,-4270050118.59529,-97839188.1064658
2022-03-21 00:00:00.000,5527546702.17272,-6332288538.84453,-804741836.67181,8328033025.23314,2890612815.21029,-3711720779.78283,-821107964.572541,3041009818.82759,-3017545236.30315,23464582.5244455
2022-03-28 00:00:00.000,4182690161.18384,-4148724738.61103,33965422.5728159,8361998447.80596,2433287572.37318,-2515894540.26323,-82606967.8900504,1936743215.54147,-1814864181.21449,121879034.326972
